Region;Year;LastUpdateDate;id;GastoTotalActInnovadoraMilesEuros;Gastoactividadessobrecifranegocio;IntInnovacionEmpActID;IntInnovacionEmpconActInnovadora;Porccifranegociosprodnuevoomejorado;Porcemptecinnovadora;Porcempnotec;Porempinntotal;NEmpinntect;NEmpeInnovadoras;NEmpInnnotec
Total Nacional;2011;2019-08-05;Nacional2011;14755807.0;0.91;2.06;1.86;12.09;16.57;24.48;31.05;27203.0;50982.0;40191.0
Andalucía;2011;2019-08-05;Andalucía2011;933498.0;0.65;3.46;2.57;9.94;12.32;21.66;26.95;2909.0;6365.0;5115.0
Aragón;2011;2019-08-05;Aragón2011;452446.0;1.07;2.48;2.27;22.92;19.93;26.5;34.64;984.0;1710.0;1308.0
Asturias, Principado de;2011;2019-08-05;Asturias2011;164018.0;0.45;0.74;0.77;8.57;15.61;21.71;28.44;504.0;917.0;700.0
Balears, Illes;2011;2019-08-05;Balears2011;40222.0;0.16;1.05;0.57;2.51;10.86;17.63;22.41;465.0;960.0;755.0
Canarias;2011;2019-08-05;Canarias2011;77181.0;0.28;2.98;1.44;3.43;14.36;19.61;26.77;960.0;1789.0;1311.0
Cantabria;2011;2019-08-05;Cantabria2011;73277.0;0.62;1.63;1.64;17.28;18.3;18.06;28.09;338.0;519.0;334.0
Castilla y León;2011;2019-08-05;Castilla y León2011;508367.0;1.18;3.82;3.24;7.02;17.79;22.62;30.75;1308.0;2260.0;1662.0
Castilla - La Mancha;2011;2019-08-05;Castilla - La Mancha2011;248198.0;0.56;2.78;2.21;4.69;15.48;22.23;28.07;978.0;1773.0;1404.0
Cataluña;2011;2019-08-05;Cataluña2011;3407529.0;0.97;3.0;2.19;9.74;17.12;28.71;34.55;5434.0;10967.0;9114.0
Comunitat Valenciana;2011;2019-08-05;Valencia2011;701506.0;0.5;1.28;1.24;10.85;16.78;26.84;33.57;2876.0;5755.0;4601.0
Extremadura;2011;2019-08-05;Extremadura2011;42173.0;0.36;1.96;1.69;3.3;12.87;15.46;22.15;354.0;610.0;426.0
Galicia;2011;2019-08-05;Galicia2011;552317.0;0.83;3.01;2.02;6.33;18.15;20.52;28.26;1643.0;2557.0;1857.0
Madrid, Comunidad de;2011;2019-08-05;Madrid2011;5344892.0;1.04;1.62;1.71;12.38;17.32;26.96;33.11;4556.0;8711.0;7094.0
Murcia, Región de;2011;2019-08-05;Murcia2011;153803.0;0.39;1.41;1.67;6.33;15.29;22.66;28.11;797.0;1465.0;1181.0
Navarra, Comunidad Foral de;2011;2019-08-05;Navarra2011;447005.0;1.43;2.85;2.74;20.99;22.25;23.92;33.52;633.0;954.0;681.0
País Vasco;2011;2019-08-05;País Vasco2011;1542700.0;1.31;2.14;1.92;26.56;22.89;24.38;33.85;2119.0;3134.0;2258.0
Rioja, La;2011;2019-08-05;Rioja2011;65772.0;1.08;2.84;2.47;12.68;23.43;24.87;35.0;312.0;467.0;332.0
Ceuta;2011;2019-08-05;Ceuta2011;449.0;0.05;96.21;0.48;3.11;13.85;17.38;22.21;20.0;32.0;25.0
Melilla;2011;2019-08-05;Melilla2011;454.0;0.09;-2;0.39;0.23;9.61;25.47;27.86;13.0;37.0;34.0
Total Nacional;2012;2019-08-05;Nacional2012;13410348.0;0.84;1.97;1.75;11.81;13.22;20.49;25.88;20815.0;40761.0;32275.0
Andalucía;2012;2019-08-05;Andalucía2012;867280.0;0.67;3.12;2.44;8.37;10.18;17.64;22.12;2295.0;4989.0;3979.0
Aragón;2012;2019-08-05;Aragón2012;369205.0;0.87;2.5;2.25;15.08;16.83;22.7;29.7;806.0;1422.0;1087.0
Asturias, Principado de;2012;2019-08-05;Asturias2012;143238.0;0.43;1.15;0.77;12.94;11.78;17.89;22.93;359.0;698.0;545.0
Balears, Illes;2012;2019-08-05;Balears2012;35222.0;0.17;1.99;0.53;12.43;7.83;18.11;21.31;307.0;837.0;711.0
Canarias;2012;2019-08-05;Canarias2012;72665.0;0.24;1.38;1.32;3.28;9.48;16.56;20.59;605.0;1315.0;1058.0
Cantabria;2012;2019-08-05;Cantabria2012;73817.0;0.49;1.28;1.49;5.88;13.97;14.96;21.48;251.0;385.0;268.0
Castilla y León;2012;2019-08-05;Castilla y León2012;564357.0;1.05;3.89;3.3;6.12;13.7;16.91;22.83;958.0;1597.0;1183.0
Castilla - La Mancha;2012;2019-08-05;Castilla - La Mancha2012;217438.0;0.6;3.02;2.2;4.43;10.69;16.82;21.97;609.0;1250.0;957.0
Cataluña;2012;2019-08-05;Cataluña2012;3311976.0;0.98;2.84;2.22;10.99;14.44;23.93;29.27;4415.0;8952.0;7318.0
Comunitat Valenciana;2012;2019-08-05;Valencia2012;623797.0;0.45;1.32;1.18;17.48;14.5;22.83;29.01;2329.0;4658.0;3666.0
Extremadura;2012;2019-08-05;Extremadura2012;44664.0;0.39;1.14;1.6;2.42;8.67;13.78;18.63;219.0;471.0;349.0
Galicia;2012;2019-08-05;Galicia2012;606887.0;0.93;4.08;3.31;9.97;14.74;17.33;23.53;1267.0;2023.0;1490.0
Madrid, Comunidad de;2012;2019-08-05;Madrid2012;4470315.0;0.83;1.43;1.43;11.38;12.25;21.56;26.15;3199.0;6830.0;5631.0
Murcia, Región de;2012;2019-08-05;Murcia2012;151603.0;0.43;1.51;1.35;8.79;10.92;18.39;22.61;535.0;1107.0;901.0
Navarra, Comunidad Foral de;2012;2019-08-05;Navarra2012;289454.0;1.31;2.81;2.5;13.41;17.14;20.3;27.14;462.0;731.0;547.0
País Vasco;2012;2019-08-05;País Vasco2012;1515740.0;1.35;2.08;1.93;18.16;20.32;24.58;32.64;1896.0;3046.0;2293.0
Rioja, La;2012;2019-08-05;Rioja2012;51525.0;0.83;2.83;2.3;15.84;22.38;19.84;31.36;278.0;390.0;247.0
Ceuta;2012;2019-08-05;Ceuta2012;339.0;0.07;-2;0.67;7.98;8.98;14.75;18.42;12.0;25.0;20.0
Melilla;2012;2019-08-05;Melilla2012;826.0;0.2;-2;2.25;0.37;9.56;19.16;26.39;12.0;34.0;25.0
