Region;Year;LastUpdateDate;id;GastoIDManAltayMediaTec;GastoIDSerAltTec;PersIDManAltayMediaTec;PersIDServAltTec;GastoIDTotal;PersIDTotal
Total;2011;2019-08-06;Nacional2011;2520431.0;2289547.0;25173.2;31065.0;14184295.0;215078.8
Andalucía;2011;2019-08-06;Andalucía2011;147296.0;159533.0;1491.8;2472.8;1648471.0;25433.8
Aragón;2011;2019-08-06;Aragón2011;89327.0;25426.0;1156.2;479.7;322113.0;6534.2
Asturias, Principado de;2011;2019-08-06;Asturias2011;12618.0;40852.0;185.4;688.6;218119.0;3678.6
Balears, Illes;2011;2019-08-06;Balears2011;746.0;5215.0;17.9;115.7;95818.0;2007.3
Canarias;2011;2019-08-06;Canarias2011;1572.0;33098.0;21.2;410.9;242968.0;3896.0
Cantabria;2011;2019-08-06;Cantabria2011;13690.0;8333.0;192.7;151.3;141816.0;2104.7
Castilla y León;2011;2019-08-06;Castilla y León2011;63451.0;139831.0;750.2;1596.0;574357.0;9734.0
Castilla - La Mancha;2011;2019-08-06;Castilla - La Mancha2011;51841.0;47693.0;516.2;392.5;259383.0;3453.8
Cataluña;2011;2019-08-06;Cataluña2011;810662.0;440327.0;7790.0;5977.2;3103712.0;44455.5
Comunitat Valenciana;2011;2019-08-06;Valencia2011;99255.0;141313.0;1502.6;2529.8;1044364.0;19964.6
Extremadura;2011;2019-08-06;Extremadura2011;1727.0;9422.0;32.9;130.0;143837.0;2234.2
Galicia;2011;2019-08-06;Galicia2011;75480.0;56592.0;1045.5;1133.9;526471.0;10146.3
Madrid, Comunidad de;2011;2019-08-06;Madrid2011;733625.0;683128.0;5538.3;8253.9;3762811.0;51108.8
Murcia, Región de;2011;2019-08-06;Murcia2011;16714.0;16292.0;232.9;432.0;234082.0;5669.8
Navarra, Comunidad Foral de;2011;2019-08-06;Navarra2011;74879.0;41920.0;855.4;614.5;383854.0;5220.5
País Vasco;2011;2019-08-06;País Vasco2011;320443.0;428834.0;3776.7;5492.1;1397208.0;17970.8
Rioja, La;2011;2019-08-06;Rioja2011;7105.0;11607.0;67.3;190.9;81817.0;1422.6
Ceuta;2011;2019-08-06;Ceuta2011;-2;-2;-2;-2;1252.0;16.0
Melilla;2011;2019-08-06;Melilla2011;-2;130.0;-2;3.3;1840.0;27.3
Total;2012;2019-08-06;Nacional2012;2370825.0;2292612.0;25287.4;31811.2;13391607.0;208831.4
Andalucía;2012;2019-08-06;Andalucía2012;130427.0;140640.0;1549.1;2529.7;1480460.0;24647.2
Aragón;2012;2019-08-06;Aragón2012;86226.0;27164.0;1082.1;471.9;312795.0;6133.0
Asturias, Principado de;2012;2019-08-06;Asturias2012;22298.0;37526.0;203.6;668.1;195892.0;3426.0
Balears, Illes;2012;2019-08-06;Balears2012;666.0;5342.0;14.7;97.8;89921.0;1955.7
Canarias;2012;2019-08-06;Canarias2012;821.0;24119.0;14.6;398.2;211495.0;3778.7
Cantabria;2012;2019-08-06;Cantabria2012;16738.0;6739.0;208.7;150.4;126166.0;2018.8
Castilla y León;2012;2019-08-06;Castilla y León2012;84307.0;153628.0;1068.7;1564.2;617467.0;9546.9
Castilla - La Mancha;2012;2019-08-06;Castilla - La Mancha2012;58294.0;48088.0;539.3;421.2;230547.0;3170.0
Cataluña;2012;2019-08-06;Cataluña2012;737886.0;468722.0;7812.7;6215.1;2991010.0;44461.5
Comunitat Valenciana;2012;2019-08-06;Valencia2012;102969.0;129982.0;1524.8;2462.9;1008041.0;18889.4
Extremadura;2012;2019-08-06;Extremadura2012;1443.0;10724.0;29.1;162.0;128432.0;2126.4
Galicia;2012;2019-08-06;Galicia2012;69455.0;61583.0;1026.7;1250.3;487840.0;9509.4
Madrid, Comunidad de;2012;2019-08-06;Madrid2012;637490.0;668826.0;5410.3;8700.1;3433677.0;48772.6
Murcia, Región de;2012;2019-08-06;Murcia2012;15940.0;18291.0;231.6;474.4;227759.0;5459.1
Navarra, Comunidad Foral de;2012;2019-08-06;Navarra2012;71357.0;33404.0;794.6;462.6;346690.0;4821.9
País Vasco;2012;2019-08-06;País Vasco2012;332100.0;443874.0;3729.5;5524.2;1431108.0;18591.0
