Region;year;date;id;Abandono
TOTAL;2002;2019-11-04;Nacional2002;30.9137
Andalucía;2002;2019-11-04;Andalucía2002;37.029
Aragón;2002;2019-11-04;Aragón2002;27.254
Asturias, Principado de;2002;2019-11-04;Asturias2002;22.8665
Balears, Illes;2002;2019-11-04;Balears2002;39.9017
Canarias;2002;2019-11-04;Canarias2002;33.6482
Cantabria (3);2002;2019-11-04;Cantabria2002;26.4539
Castilla y León;2002;2019-11-04;Castilla y León2002;22.8854
Castilla-La Mancha;2002;2019-11-04;Castilla - La Mancha2002;36.7277
Cataluña;2002;2019-11-04;Cataluña2002;31.3146
Comunitat Valenciana;2002;2019-11-04;Valencia2002;36.033
Extremadura;2002;2019-11-04;Extremadura2002;38.1004
Galicia;2002;2019-11-04;Galicia2002;27.2631
Madrid, Comunidad de;2002;2019-11-04;Madrid2002;24.3131
Murcia, Región de;2002;2019-11-04;Murcia2002;39.4115
Navarra, Comunidad Foral de (3);2002;2019-11-04;Navarra2002;21.7788
País Vasco;2002;2019-11-04;País Vasco2002;13.3791
Rioja, La (3);2002;2019-11-04;Rioja2002;27.9959
Ceuta (3);2002;2019-11-04;Ceuta2002;43.5
Melilla (3);2002;2019-11-04;Melilla2002;28
TOTAL;2003.0;2019-11-04;Nacional2003.0;31.7134
Andalucía;2003.0;2019-11-04;Andalucía2003.0;38.4275
Aragón;2003.0;2019-11-04;Aragón2003.0;23.6168
Asturias, Principado de;2003.0;2019-11-04;Asturias2003.0;29.2973
Balears, Illes;2003.0;2019-11-04;Balears2003.0;41.409
Canarias;2003.0;2019-11-04;Canarias2003.0;33.1
Cantabria (3);2003.0;2019-11-04;Cantabria2003.0;28.9454
Castilla y León;2003.0;2019-11-04;Castilla y León2003.0;24.0485
Castilla-La Mancha;2003.0;2019-11-04;Castilla - La Mancha2003.0;36.3304
Cataluña;2003.0;2019-11-04;Cataluña2003.0;34.2562
Comunitat Valenciana;2003.0;2019-11-04;Valencia2003.0;35.7771
Extremadura;2003.0;2019-11-04;Extremadura2003.0;36.3132
Galicia;2003.0;2019-11-04;Galicia2003.0;24.9852
Madrid, Comunidad de;2003.0;2019-11-04;Madrid2003.0;22.9608
Murcia, Región de;2003.0;2019-11-04;Murcia2003.0;42.84
Navarra, Comunidad Foral de (3);2003.0;2019-11-04;Navarra2003.0;20.99
País Vasco;2003.0;2019-11-04;País Vasco2003.0;15.9485
Rioja, La (3);2003.0;2019-11-04;Rioja2003.0;35.0878
Ceuta (3);2003.0;2019-11-04;Ceuta2003.0;46.0
Melilla (3);2003.0;2019-11-04;Melilla2003.0;34.7
TOTAL;2004.0;2019-11-04;Nacional2004.0;32.1805
Andalucía;2004.0;2019-11-04;Andalucía2004.0;39.3512
Aragón;2004.0;2019-11-04;Aragón2004.0;23.8121
Asturias, Principado de;2004.0;2019-11-04;Asturias2004.0;26.8674
Balears, Illes;2004.0;2019-11-04;Balears2004.0;42.1529
Canarias;2004.0;2019-11-04;Canarias2004.0;33.2772
Cantabria (3);2004.0;2019-11-04;Cantabria2004.0;26.6733
Castilla y León;2004.0;2019-11-04;Castilla y León2004.0;23.3486
Castilla-La Mancha;2004.0;2019-11-04;Castilla - La Mancha2004.0;37.3624
Cataluña;2004.0;2019-11-04;Cataluña2004.0;34.0975
Comunitat Valenciana;2004.0;2019-11-04;Valencia2004.0;35.6552
Extremadura;2004.0;2019-11-04;Extremadura2004.0;39.2455
Galicia;2004.0;2019-11-04;Galicia2004.0;24.2572
Madrid, Comunidad de;2004.0;2019-11-04;Madrid2004.0;25.6065
Murcia, Región de;2004.0;2019-11-04;Murcia2004.0;43.5809
Navarra, Comunidad Foral de (3);2004.0;2019-11-04;Navarra2004.0;21.0418
