Region;year;date;id;Renta
Nacional;2018;2019-11-04;Nacional2018;29.2
Andalucía;2018;2019-11-04;Andalucía2018;24.2
Aragón;2018;2019-11-04;Aragón2018;29.3
Asturias, principado de;2018;2019-11-04;Asturias2018;-2
Balears, Illes;2018;2019-11-04;Balears2018;24.6
Canarias;2018;2019-11-04;Canarias2018;25.2
Cantabria;2018;2019-11-04;Cantabria2018;31.6
Castilla y León;2018;2019-11-04;Castilla y León2018;27.2
Castilla - La Mancha;2018;2019-11-04;Castilla - La Mancha2018;21.7
Cataluña;2018;2019-11-04;Cataluña2018;32.0
Comunitat Valenciana;2018;2019-11-04;Valencia2018;27.7
Extremadura;2018;2019-11-04;Extremadura2018;20.5
Galicia;2018;2019-11-04;Galicia2018;27.0
Madrid, comunidad de;2018;2019-11-04;Madrid2018;-2
Murcia, region de;2018;2019-11-04;Murcia2018;-2
Navarra, comunidad foral de;2018;2019-11-04;Navarra2018;-2
País Vasco;2018;2019-11-04;País Vasco2018;38.2
Rioja, La;2018;2019-11-04;Rioja2018;29.0
Ceuta;2018;2019-11-04;Ceuta2018;21.6
Melilla;2018;2019-11-04;Melilla2018;25.4
Nacional;2017;2019-11-04;Nacional2017;28.5
Andalucía;2017;2019-11-04;Andalucía2017;23.6
Aragón;2017;2019-11-04;Aragón2017;28.2
Asturias, principado de;2017;2019-11-04;Asturias2017;-2
Balears, Illes;2017;2019-11-04;Balears2017;25.4
Canarias;2017;2019-11-04;Canarias2017;24.5
Cantabria;2017;2019-11-04;Cantabria2017;31.6
Castilla y León;2017;2019-11-04;Castilla y León2017;26.5
Castilla - La Mancha;2017;2019-11-04;Castilla - La Mancha2017;21.1
Cataluña;2017;2019-11-04;Cataluña2017;30.8
Comunitat Valenciana;2017;2019-11-04;Valencia2017;26.1
Extremadura;2017;2019-11-04;Extremadura2017;20.3
Galicia;2017;2019-11-04;Galicia2017;26.9
Madrid, comunidad de;2017;2019-11-04;Madrid2017;-2
Murcia, region de;2017;2019-11-04;Murcia2017;-2
Navarra, comunidad foral de;2017;2019-11-04;Navarra2017;-2
País Vasco;2017;2019-11-04;País Vasco2017;37.9
Rioja, La;2017;2019-11-04;Rioja2017;28.5
Ceuta;2017;2019-11-04;Ceuta2017;21.5
Melilla;2017;2019-11-04;Melilla2017;24.2
Nacional;2016;2019-11-04;Nacional2016;28.1
Andalucía;2016;2019-11-04;Andalucía2016;23.2
Aragón;2016;2019-11-04;Aragón2016;28.2
Asturias, principado de;2016;2019-11-04;Asturias2016;-2
Balears, Illes;2016;2019-11-04;Balears2016;24.0
Canarias;2016;2019-11-04;Canarias2016;24.2
Cantabria;2016;2019-11-04;Cantabria2016;30.9
Castilla y León;2016;2019-11-04;Castilla y León2016;25.7
Castilla - La Mancha;2016;2019-11-04;Castilla - La Mancha2016;21.0
Cataluña;2016;2019-11-04;Cataluña2016;30.1
Comunitat Valenciana;2016;2019-11-04;Valencia2016;26.1
Extremadura;2016;2019-11-04;Extremadura2016;19.3
Galicia;2016;2019-11-04;Galicia2016;26.6
Madrid, comunidad de;2016;2019-11-04;Madrid2016;-2
Murcia, region de;2016;2019-11-04;Murcia2016;-2
Navarra, comunidad foral de;2016;2019-11-04;Navarra2016;-2
País Vasco;2016;2019-11-04;País Vasco2016;37.3
Rioja, La;2016;2019-11-04;Rioja2016;28.7
Ceuta;2016;2019-11-04;Ceuta2016;23.2
Melilla;2016;2019-11-04;Melilla2016;22.5
Nacional;2015;2019-11-04;Nacional2015;27.5
Andalucía;2015;2019-11-04;Andalucía2015;22.4
Aragón;2015;2019-11-04;Aragón2015;27.5
Asturias, principado de;2015;2019-11-04;Asturias2015;-2
Balears, Illes;2015;2019-11-04;Balears2015;22.7
Canarias;2015;2019-11-04;Canarias2015;21.9
Cantabria;2015;2019-11-04;Cantabria2015;30.1
Castilla y León;2015;2019-11-04;Castilla y León2015;26.0
Castilla - La Mancha;2015;2019-11-04;Castilla - La Mancha2015;21.0
Cataluña;2015;2019-11-04;Cataluña2015;29.2
Comunitat Valenciana;2015;2019-11-04;Valencia2015;25.7
Extremadura;2015;2019-11-04;Extremadura2015;20.4
Galicia;2015;2019-11-04;Galicia2015;26.0
Madrid, comunidad de;2015;2019-11-04;Madrid2015;-2
Murcia, region de;2015;2019-11-04;Murcia2015;-2
Navarra, comunidad foral de;2015;2019-11-04;Navarra2015;-2
País Vasco;2015;2019-11-04;País Vasco2015;37.0
Rioja, La;2015;2019-11-04;Rioja2015;30.4
Ceuta;2015;2019-11-04;Ceuta2015;22.8
Melilla;2015;2019-11-04;Melilla2015;22.4
Nacional;2014;2019-11-04;Nacional2014;27.2
Andalucía;2014;2019-11-04;Andalucía2014;21.8
Aragón;2014;2019-11-04;Aragón2014;27.5
Asturias, principado de;2014;2019-11-04;Asturias2014;-2
Balears, Illes;2014;2019-11-04;Balears2014;22.8
Canarias;2014;2019-11-04;Canarias2014;22.1
Cantabria;2014;2019-11-04;Cantabria2014;29.8
Castilla y León;2014;2019-11-04;Castilla y León2014;25.7
Castilla - La Mancha;2014;2019-11-04;Castilla - La Mancha2014;20.9
Cataluña;2014;2019-11-04;Cataluña2014;28.8
Comunitat Valenciana;2014;2019-11-04;Valencia2014;25.2
Extremadura;2014;2019-11-04;Extremadura2014;20.2
Galicia;2014;2019-11-04;Galicia2014;24.8
Madrid, comunidad de;2014;2019-11-04;Madrid2014;-2
Murcia, region de;2014;2019-11-04;Murcia2014;-2
Navarra, comunidad foral de;2014;2019-11-04;Navarra2014;-2
País Vasco;2014;2019-11-04;País Vasco2014;36.5
Rioja, La;2014;2019-11-04;Rioja2014;28.8
Ceuta;2014;2019-11-04;Ceuta2014;18.1
Melilla;2014;2019-11-04;Melilla2014;23.4
