Region;year;date;id;ind
nacional;2011;2019-10-31;Nacional2011;60.8
Andalucía;2011;2019-10-31;Andalucía2011;55.0
Aragón;2011;2019-10-31;Aragón2011;60.9
Asturias;2011;2019-10-31;Asturias2011;59.4
Balears;2011;2019-10-31;Balears2011;66.2
Canarias;2011;2019-10-31;Canarias2011;59.0
Cantabria;2011;2019-10-31;Cantabria2011;63.6
Castilla y León;2011;2019-10-31;Castilla y León2011;53.3
Castilla - La Mancha;2011;2019-10-31;Castilla - La Mancha2011;56.2
Cataluña;2011;2019-10-31;Cataluña2011;68.3
Comunitat Valenciana;2011;2019-10-31;Valencia2011;57.9
Extremadura;2011;2019-10-31;Extremadura2011;50.8
Galicia;2011;2019-10-31;Galicia2011;51.0
Madrid;2011;2019-10-31;Madrid2011;70.5
Murcia;2011;2019-10-31;Murcia2011;57.9
Navarra;2011;2019-10-31;Navarra2011;62.1
País Vasco;2011;2019-10-31;País Vasco2011;64.1
Rioja;2011;2019-10-31;Rioja2011;55.6
Ceuta;2011;2019-10-31;Ceuta2011;65.2
Melilla;2011;2019-10-31;Melilla2011;59.8
nacional;2012;2019-10-31;Nacional2012;65.5
Andalucía;2012;2019-10-31;Andalucía2012;61.3
Aragón;2012;2019-10-31;Aragón2012;65.9
Asturias;2012;2019-10-31;Asturias2012;65.1
Balears;2012;2019-10-31;Balears2012;70.4
Canarias;2012;2019-10-31;Canarias2012;63.0
Cantabria;2012;2019-10-31;Cantabria2012;66.3
Castilla y León;2012;2019-10-31;Castilla y León2012;61.7
Castilla - La Mancha;2012;2019-10-31;Castilla - La Mancha2012;59.4
Cataluña;2012;2019-10-31;Cataluña2012;69.3
Comunitat Valenciana;2012;2019-10-31;Valencia2012;58.8
Extremadura;2012;2019-10-31;Extremadura2012;56.4
Galicia;2012;2019-10-31;Galicia2012;61.6
Madrid;2012;2019-10-31;Madrid2012;76.6
Murcia;2012;2019-10-31;Murcia2012;62.2
Navarra;2012;2019-10-31;Navarra2012;67.7
País Vasco;2012;2019-10-31;País Vasco2012;70.4
Rioja;2012;2019-10-31;Rioja2012;63.1
Ceuta;2012;2019-10-31;Ceuta2012;71.3
Melilla;2012;2019-10-31;Melilla2012;64.5
nacional;2013;2019-10-31;Nacional2013;68.8
Andalucía;2013;2019-10-31;Andalucía2013;65.8
Aragón;2013;2019-10-31;Aragón2013;67.0
Asturias;2013;2019-10-31;Asturias2013;69.8
Balears;2013;2019-10-31;Balears2013;67.8
Canarias;2013;2019-10-31;Canarias2013;66.7
Cantabria;2013;2019-10-31;Cantabria2013;74.2
Castilla y León;2013;2019-10-31;Castilla y León2013;65.9
Castilla - La Mancha;2013;2019-10-31;Castilla - La Mancha2013;62.9
Cataluña;2013;2019-10-31;Cataluña2013;70.8
Comunitat Valenciana;2013;2019-10-31;Valencia2013;66.4
Extremadura;2013;2019-10-31;Extremadura2013;60.5
Galicia;2013;2019-10-31;Galicia2013;63.9
Madrid;2013;2019-10-31;Madrid2013;78.4
Murcia;2013;2019-10-31;Murcia2013;66.1
Navarra;2013;2019-10-31;Navarra2013;70.6
País Vasco;2013;2019-10-31;País Vasco2013;72.6
Rioja;2013;2019-10-31;Rioja2013;63.4
Ceuta;2013;2019-10-31;Ceuta2013;81.4
Melilla;2013;2019-10-31;Melilla2013;64.6
nacional;2014;2019-10-31;Nacional2014;73.0
Andalucía;2014;2019-10-31;Andalucía2014;69.9
Aragón;2014;2019-10-31;Aragón2014;69.7
Asturias;2014;2019-10-31;Asturias2014;72.2
Balears;2014;2019-10-31;Balears2014;77.5
Canarias;2014;2019-10-31;Canarias2014;71.0
Cantabria;2014;2019-10-31;Cantabria2014;72.4
Castilla y León;2014;2019-10-31;Castilla y León2014;67.6
Castilla - La Mancha;2014;2019-10-31;Castilla - La Mancha2014;65.6
Cataluña;2014;2019-10-31;Cataluña2014;76.4
Comunitat Valenciana;2014;2019-10-31;Valencia2014;69.8
Extremadura;2014;2019-10-31;Extremadura2014;62.2
Galicia;2014;2019-10-31;Galicia2014;69.1
Madrid;2014;2019-10-31;Madrid2014;82.9
Murcia;2014;2019-10-31;Murcia2014;72.0
Navarra;2014;2019-10-31;Navarra2014;76.0
País Vasco;2014;2019-10-31;País Vasco2014;76.6
Rioja;2014;2019-10-31;Rioja2014;68.5
Ceuta;2014;2019-10-31;Ceuta2014;81.3
Melilla;2014;2019-10-31;Melilla2014;81.8
nacional;2015;2019-10-31;Nacional2015;77.8
Andalucía;2015;2019-10-31;Andalucía2015;75.2
Aragón;2015;2019-10-31;Aragón2015;75.3
Asturias;2015;2019-10-31;Asturias2015;78.7
Balears;2015;2019-10-31;Balears2015;78.2
Canarias;2015;2019-10-31;Canarias2015;77.3
Cantabria;2015;2019-10-31;Cantabria2015;78.8
Castilla y León;2015;2019-10-31;Castilla y León2015;73.5
Castilla - La Mancha;2015;2019-10-31;Castilla - La Mancha2015;73.6
Cataluña;2015;2019-10-31;Cataluña2015;79.5
Comunitat Valenciana;2015;2019-10-31;Valencia2015;74.3
Extremadura;2015;2019-10-31;Extremadura2015;70.3
Galicia;2015;2019-10-31;Galicia2015;75.2
Madrid;2015;2019-10-31;Madrid2015;85.7
Murcia;2015;2019-10-31;Murcia2015;77.7
Navarra;2015;2019-10-31;Navarra2015;79.6
País Vasco;2015;2019-10-31;País Vasco2015;82.8
Rioja;2015;2019-10-31;Rioja2015;74.3
Ceuta;2015;2019-10-31;Ceuta2015;80.2
Melilla;2015;2019-10-31;Melilla2015;78.5
nacional;2016;2019-10-31;Nacional2016;81.2
Andalucía;2016;2019-10-31;Andalucía2016;79.8
Aragón;2016;2019-10-31;Aragón2016;80.2
Asturias;2016;2019-10-31;Asturias2016;79.2
Balears;2016;2019-10-31;Balears2016;81.2
Canarias;2016;2019-10-31;Canarias2016;80.7
Cantabria;2016;2019-10-31;Cantabria2016;77.3
Castilla y León;2016;2019-10-31;Castilla y León2016;76.5
Castilla - La Mancha;2016;2019-10-31;Castilla - La Mancha2016;77.9
Cataluña;2016;2019-10-31;Cataluña2016;82.3
Comunitat Valenciana;2016;2019-10-31;Valencia2016;79.9
Extremadura;2016;2019-10-31;Extremadura2016;78.3
Galicia;2016;2019-10-31;Galicia2016;78.1
Madrid;2016;2019-10-31;Madrid2016;87.5
Murcia;2016;2019-10-31;Murcia2016;81.0
Navarra;2016;2019-10-31;Navarra2016;81.6
País Vasco;2016;2019-10-31;País Vasco2016;82.2
Rioja;2016;2019-10-31;Rioja2016;79.1
Ceuta;2016;2019-10-31;Ceuta2016;82.6
Melilla;2016;2019-10-31;Melilla2016;85.0
nacional;2017;2019-10-31;Nacional2017;82.7
Andalucía;2017;2019-10-31;Andalucía2017;81.0
Aragón;2017;2019-10-31;Aragón2017;83.8
Asturias;2017;2019-10-31;Asturias2017;80.8
Balears;2017;2019-10-31;Balears2017;87.8
Canarias;2017;2019-10-31;Canarias2017;80.1
Cantabria;2017;2019-10-31;Cantabria2017;82.4
Castilla y León;2017;2019-10-31;Castilla y León2017;78.2
Castilla - La Mancha;2017;2019-10-31;Castilla - La Mancha2017;80.1
Cataluña;2017;2019-10-31;Cataluña2017;82.9
Comunitat Valenciana;2017;2019-10-31;Valencia2017;81.2
Extremadura;2017;2019-10-31;Extremadura2017;78.4
Galicia;2017;2019-10-31;Galicia2017;78.4
Madrid;2017;2019-10-31;Madrid2017;88.5
Murcia;2017;2019-10-31;Murcia2017;84.7
Navarra;2017;2019-10-31;Navarra2017;87.7
País Vasco;2017;2019-10-31;País Vasco2017;86.3
Rioja;2017;2019-10-31;Rioja2017;80.1
Ceuta;2017;2019-10-31;Ceuta2017;88.4
Melilla;2017;2019-10-31;Melilla2017;78.9
nacional;2018;2019-10-31;Nacional2018;86.1
Andalucía;2018;2019-10-31;Andalucía2018;83.5
Aragón;2018;2019-10-31;Aragón2018;88.4
Asturias;2018;2019-10-31;Asturias2018;85.1
Balears;2018;2019-10-31;Balears2018;90.6
Canarias;2018;2019-10-31;Canarias2018;86.8
Cantabria;2018;2019-10-31;Cantabria2018;82.4
Castilla y León;2018;2019-10-31;Castilla y León2018;82.2
Castilla - La Mancha;2018;2019-10-31;Castilla - La Mancha2018;80.8
Cataluña;2018;2019-10-31;Cataluña2018;87.2
Comunitat Valenciana;2018;2019-10-31;Valencia2018;86.7
Extremadura;2018;2019-10-31;Extremadura2018;78.4
Galicia;2018;2019-10-31;Galicia2018;82.1
Madrid;2018;2019-10-31;Madrid2018;91.4
Murcia;2018;2019-10-31;Murcia2018;87.4
Navarra;2018;2019-10-31;Navarra2018;86.6
País Vasco;2018;2019-10-31;País Vasco2018;89.0
Rioja;2018;2019-10-31;Rioja2018;82.2
Ceuta;2018;2019-10-31;Ceuta2018;91.7
Melilla;2018;2019-10-31;Melilla2018;88.9
nacional;2019;2019-10-31;Nacional2019;91.2
Andalucía;2019;2019-10-31;Andalucía2019;89.2
Aragón;2019;2019-10-31;Aragón2019;91.6
Asturias;2019;2019-10-31;Asturias2019;90.8
Balears;2019;2019-10-31;Balears2019;93.0
Canarias;2019;2019-10-31;Canarias2019;90.4
Cantabria;2019;2019-10-31;Cantabria2019;90.8
Castilla y León;2019;2019-10-31;Castilla y León2019;88.6
Castilla - La Mancha;2019;2019-10-31;Castilla - La Mancha2019;86.7
Cataluña;2019;2019-10-31;Cataluña2019;93.9
Comunitat Valenciana;2019;2019-10-31;Valencia2019;90.5
Extremadura;2019;2019-10-31;Extremadura2019;89.2
Galicia;2019;2019-10-31;Galicia2019;88.1
Madrid;2019;2019-10-31;Madrid2019;94.5
Murcia;2019;2019-10-31;Murcia2019;91.0
Navarra;2019;2019-10-31;Navarra2019;94.5
País Vasco;2019;2019-10-31;País Vasco2019;91.4
Rioja;2019;2019-10-31;Rioja2019;90.0
Ceuta;2019;2019-10-31;Ceuta2019;91.7
Melilla;2019;2019-10-31;Melilla2019;91.2
