Region;year;date;id;PIBperCapita
Nacional;2001;2019-11-04;Nacional2001;0.07687480389080648
Andalucía;2001;2019-11-04;Andalucía2001;0.07713778228875912
Aragón;2001;2019-11-04;Aragón2001;0.0733884495566739
Asturias, principado de;2001;2019-11-04;Asturias2001;0.08115378867134959
Balears, illes;2001;2019-11-04;Balears2001;0.06120818771842229
Canarias;2001;2019-11-04;Canarias2001;0.07636480411046875
Cantabria;2001;2019-11-04;Cantabria2001;0.08085420723927195
Castilla y León;2001;2019-11-04;Castilla y León2001;0.06895119418483908
Castilla - La Mancha;2001;2019-11-04;Castilla - La Mancha2001;0.07996138685544207
Cataluña;2001;2019-11-04;Cataluña2001;0.0782128669452613
Comunitat Valenciana;2001;2019-11-04;Valencia2001;0.08403029305235421
Extremadura;2001;2019-11-04;Extremadura2001;0.0695909314933465
Galicia;2001;2019-11-04;Galicia2001;0.07832201745877798
Madrid, comunidad de;2001;2019-11-04;Madrid2001;0.0788918576852764
Murcia, región de;2001;2019-11-04;Murcia2001;0.07563025210084029
Navarra, comunidad foral de;2001;2019-11-04;Navarra2001;0.05900330260758113
País Vasco;2001;2019-11-04;País Vasco2001;0.07112885068058539
Rioja, La;2001;2019-11-04;Rioja2001;0.06208948520743274
Ceuta;2001;2019-11-04;Ceuta2001;0.02808362369337969
Melilla;2001;2019-11-04;Melilla2001;0.02073308802717233
Nacional;2002;2019-11-04;Nacional2002;0.05407925407925407
Andalucía;2002;2019-11-04;Andalucía2002;0.06517471535139374
Aragón;2002;2019-11-04;Aragón2002;0.07311491879220844
Asturias, principado de;2002;2019-11-04;Asturias2002;0.06172242189659949
Balears, illes;2002;2019-11-04;Balears2002;0.020135491155438556
Canarias;2002;2019-11-04;Canarias2002;0.042782982278178894
Cantabria;2002;2019-11-04;Cantabria2002;0.06119913016464751
Castilla y León;2002;2019-11-04;Castilla y León2002;0.06405025581244739
Castilla - La Mancha;2002;2019-11-04;Castilla - La Mancha2002;0.0648789571694599
Cataluña;2002;2019-11-04;Cataluña2002;0.046078759749270226
Comunitat Valenciana;2002;2019-11-04;Valencia2002;0.0459267359212685
Extremadura;2002;2019-11-04;Extremadura2002;0.0659847018707953
Galicia;2002;2019-11-04;Galicia2002;0.06768608050371028
Madrid, comunidad de;2002;2019-11-04;Madrid2002;0.04336114007646863
Murcia, región de;2002;2019-11-04;Murcia2002;0.0595703125
Navarra, comunidad foral de;2002;2019-11-04;Navarra2002;0.05436603984360455
País Vasco;2002;2019-11-04;País Vasco2002;0.056611886107395426
Rioja, La;2002;2019-11-04;Rioja2002;0.039854114910936156
