Region;year;date;id;TasaParo
Nacional;2018;2019-10-28;Nacional2018;34.34
Andalucía;2018;2019-10-28;Andalucía2018;46.72
Aragón;2018;2019-10-28;Aragón2018;27.47
Asturias;2018;2019-10-28;Asturias2018;37.33
Balears;2018;2019-10-28;Balears2018;26.88
Canarias;2018;2019-10-28;Canarias2018;38.61
Cantabria;2018;2019-10-28;Cantabria2018;32.82
Castilla y León;2018;2019-10-28;Castilla y León2018;28.31
Castilla - La Mancha;2018;2019-10-28;Castilla - La Mancha2018;43.32
Cataluña;2018;2019-10-28;Cataluña2018;27.66
Comunitat Valenciana;2018;2019-10-28;Valencia2018;34.3
Extremadura;2018;2019-10-28;Extremadura2018;46.62
Galicia;2018;2019-10-28;Galicia2018;32.48
Madrid;2018;2019-10-28;Madrid2018;27.49
Murcia;2018;2019-10-28;Murcia2018;38.19
Navarra;2018;2019-10-28;Navarra2018;26.19
País Vasco;2018;2019-10-28;País Vasco2018;25.75
Rioja;2018;2019-10-28;Rioja2018;25.49
Ceuta;2018;2019-10-28;Ceuta2018;62.35
Melilla;2018;2019-10-28;Melilla2018;66.1
Nacional;2017;2019-10-28;Nacional2017;38.57
Andalucía;2017;2019-10-28;Andalucía2017;49.05
Aragón;2017;2019-10-28;Aragón2017;30.49
Asturias;2017;2019-10-28;Asturias2017;36.79
Balears;2017;2019-10-28;Balears2017;30.79
Canarias;2017;2019-10-28;Canarias2017;45.3
Cantabria;2017;2019-10-28;Cantabria2017;35.58
Castilla y León;2017;2019-10-28;Castilla y León2017;36.24
Castilla - La Mancha;2017;2019-10-28;Castilla - La Mancha2017;44.4
Cataluña;2017;2019-10-28;Cataluña2017;30.39
Comunitat Valenciana;2017;2019-10-28;Valencia2017;41.65
Extremadura;2017;2019-10-28;Extremadura2017;48.58
Galicia;2017;2019-10-28;Galicia2017;34.48
Madrid;2017;2019-10-28;Madrid2017;34.66
Murcia;2017;2019-10-28;Murcia2017;39.47
Navarra;2017;2019-10-28;Navarra2017;31.24
País Vasco;2017;2019-10-28;País Vasco2017;27.26
Rioja;2017;2019-10-28;Rioja2017;29.57
Ceuta;2017;2019-10-28;Ceuta2017;54.41
Melilla;2017;2019-10-28;Melilla2017;62.73
Nacional;2016;2019-10-28;Nacional2016;44.44
Andalucía;2016;2019-10-28;Andalucía2016;57.94
Aragón;2016;2019-10-28;Aragón2016;36.71
Asturias;2016;2019-10-28;Asturias2016;47.93
Balears;2016;2019-10-28;Balears2016;38.87
Canarias;2016;2019-10-28;Canarias2016;51.27
Cantabria;2016;2019-10-28;Cantabria2016;32.16
Castilla y León;2016;2019-10-28;Castilla y León2016;39.04
Castilla - La Mancha;2016;2019-10-28;Castilla - La Mancha2016;50.87
Cataluña;2016;2019-10-28;Cataluña2016;34.25
Comunitat Valenciana;2016;2019-10-28;Valencia2016;45.53
Extremadura;2016;2019-10-28;Extremadura2016;50.31
Galicia;2016;2019-10-28;Galicia2016;40.31
Madrid;2016;2019-10-28;Madrid2016;40.65
Murcia;2016;2019-10-28;Murcia2016;45.7
Navarra;2016;2019-10-28;Navarra2016;33.91
País Vasco;2016;2019-10-28;País Vasco2016;34.88
Rioja;2016;2019-10-28;Rioja2016;36.25
Ceuta;2016;2019-10-28;Ceuta2016;63.35
Melilla;2016;2019-10-28;Melilla2016;69.05
Nacional;2015;2019-10-28;Nacional2015;48.33
Andalucía;2015;2019-10-28;Andalucía2015;56.84
Aragón;2015;2019-10-28;Aragón2015;41.2
Asturias;2015;2019-10-28;Asturias2015;41.92
Balears;2015;2019-10-28;Balears2015;42.17
Canarias;2015;2019-10-28;Canarias2015;53.52
Cantabria;2015;2019-10-28;Cantabria2015;39.59
Castilla y León;2015;2019-10-28;Castilla y León2015;47.99
Castilla - La Mancha;2015;2019-10-28;Castilla - La Mancha2015;57.22
Cataluña;2015;2019-10-28;Cataluña2015;42.29
Comunitat Valenciana;2015;2019-10-28;Valencia2015;48.3
Extremadura;2015;2019-10-28;Extremadura2015;55.36
Galicia;2015;2019-10-28;Galicia2015;43.49
Madrid;2015;2019-10-28;Madrid2015;44.16
Murcia;2015;2019-10-28;Murcia2015;50.6
Navarra;2015;2019-10-28;Navarra2015;38.13
País Vasco;2015;2019-10-28;País Vasco2015;40.4
Rioja;2015;2019-10-28;Rioja2015;40.56
Ceuta;2015;2019-10-28;Ceuta2015;79.2
Melilla;2015;2019-10-28;Melilla2015;72.0
Nacional;2014;2019-10-28;Nacional2014;53.2
Andalucía;2014;2019-10-28;Andalucía2014;61.47
Aragón;2014;2019-10-28;Aragón2014;51.53
Asturias;2014;2019-10-28;Asturias2014;45.05
Balears;2014;2019-10-28;Balears2014;44.43
Canarias;2014;2019-10-28;Canarias2014;57.4
Cantabria;2014;2019-10-28;Cantabria2014;49.16
Castilla y León;2014;2019-10-28;Castilla y León2014;50.4
Castilla - La Mancha;2014;2019-10-28;Castilla - La Mancha2014;61.35
Cataluña;2014;2019-10-28;Cataluña2014;47.11
Comunitat Valenciana;2014;2019-10-28;Valencia2014;56.66
Extremadura;2014;2019-10-28;Extremadura2014;55.39
Galicia;2014;2019-10-28;Galicia2014;48.45
Madrid;2014;2019-10-28;Madrid2014;48.99
Murcia;2014;2019-10-28;Murcia2014;52.4
Navarra;2014;2019-10-28;Navarra2014;45.17
País Vasco;2014;2019-10-28;País Vasco2014;45.01
