Region;year;date;id;PobT;PobT-1;Tasa
Nacional;2019;2019-10-28;Nacional2019;46934632.0;46658447.0;0.5919292598830062
Andalucía;2019;2019-10-28;Andalucía2019;8426405.0;8410094.0;0.19394551356977097
Aragón;2019;2019-10-28;Aragón2019;1320794.0;1313135.0;0.5832606700758136
Asturias;2019;2019-10-28;Asturias2019;1022293.0;1027624.0;-0.5187695110273838
Balears;2019;2019-10-28;Balears2019;1187808.0;1166923.0;1.7897496235827148
Canarias;2019;2019-10-28;Canarias2019;2207225.0;2177048.0;1.3861430708004496
Cantabria;2019;2019-10-28;Cantabria2019;581684.0;581294.0;0.06709169542433724
Castilla y León;2019;2019-10-28;Castilla y León2019;2408083.0;2418556.0;-0.43302697973501836
Castilla - La Mancha;2019;2019-10-28;Castilla - La Mancha2019;2035505.0;2032595.0;0.14316674005396823
Cataluña;2019;2019-10-28;Cataluña2019;7565099.0;7488717.0;1.0199610961397099
Comunitat Valenciana;2019;2019-10-28;Valencia2019;4974475.0;4946233.0;0.5709799760747147
Extremadura;2019;2019-10-28;Extremadura2019;1065371.0;1070453.0;-0.4747522777739932
Galicia;2019;2019-10-28;Galicia2019;2700330.0;2703149.0;-0.10428577928927041
Madrid;2019;2019-10-28;Madrid2019;6640705.0;6549519.0;1.3922549121546224
Murcia;2019;2019-10-28;Murcia2019;1487698.0;1475569.0;0.8219879924286744
Navarra;2019;2019-10-28;Navarra2019;649966.0;643866.0;0.9474020991945498
País Vasco;2019;2019-10-28;País Vasco2019;2178048.0;2170868.0;0.3307432787253761
Rioja;2019;2019-10-28;Rioja2019;313582.0;312884.0;0.22308587208039743
Ceuta;2019;2019-10-28;Ceuta2019;84843.0;85209.0;-0.42953209168045126
Melilla;2019;2019-10-28;Melilla2019;84714.0;84708.0;0.007083156254417133
Nacional;2018;2019-10-28;Nacional2018;46658447.0;46527039.0;0.2824336188683718
Andalucía;2018;2019-10-28;Andalucía2018;8410094.0;8408825.0;0.015091288021817917
Aragón;2018;2019-10-28;Aragón2018;1313135.0;1316040.0;-0.22073797149022578
Asturias;2018;2019-10-28;Asturias2018;1027624.0;1034277.0;-0.6432512760121356
Balears;2018;2019-10-28;Balears2018;1166923.0;1150935.0;1.3891314453031711
Canarias;2018;2019-10-28;Canarias2018;2177048.0;2154924.0;1.0266719383142942
Cantabria;2018;2019-10-28;Cantabria2018;581294.0;581476.0;-0.031299658111427764
Castilla y León;2018;2019-10-28;Castilla y León2018;2418556.0;2435867.0;-0.7106709849101001
Castilla - La Mancha;2018;2019-10-28;Castilla - La Mancha2018;2032595.0;2040939.0;-0.4088314251430303
Cataluña;2018;2019-10-28;Cataluña2018;7488717.0;7441140.0;0.6393778372668635
Comunitat Valenciana;2018;2019-10-28;Valencia2018;4946233.0;4935084.0;0.2259130746305349
Extremadura;2018;2019-10-28;Extremadura2018;1070453.0;1077506.0;-0.6545671207399351
Galicia;2018;2019-10-28;Galicia2018;2703149.0;2710129.0;-0.25755231577537785
Madrid;2018;2019-10-28;Madrid2018;6549519.0;6476705.0;1.1242445039568727
Murcia;2018;2019-10-28;Murcia2018;1475569.0;1472977.0;0.1759701611091069
Navarra;2018;2019-10-28;Navarra2018;643866.0;640337.0;0.551116052953371
País Vasco;2018;2019-10-28;País Vasco2018;2170868.0;2167283.0;0.16541448440281492
Rioja;2018;2019-10-28;Rioja2018;312884.0;312618.0;0.0850878708199776
Ceuta;2018;2019-10-28;Ceuta2018;85209.0;85033.0;0.20697846718333857
Melilla;2018;2019-10-28;Melilla2018;84708.0;84943.0;-0.276656110568263
Nacional;2017;2019-10-28;Nacional2017;46527039.0;46440099.0;0.18720890323682404
Andalucía;2017;2019-10-28;Andalucía2017;8408825.0;8403774.0;0.060103948535505936
Aragón;2017;2019-10-28;Aragón2017;1316040.0;1318571.0;-0.19195022490255953
Asturias;2017;2019-10-28;Asturias2017;1034277.0;1040925.0;-0.6386627278622381
Balears;2017;2019-10-28;Balears2017;1150935.0;1135527.0;1.3569030062693388
Canarias;2017;2019-10-28;Canarias2017;2154924.0;2135209.0;0.9233288169916865
Cantabria;2017;2019-10-28;Cantabria2017;581476.0;582504.0;-0.1764794748190579
Castilla y León;2017;2019-10-28;Castilla y León2017;2435867.0;2454454.0;-0.7572763637045177
Castilla - La Mancha;2017;2019-10-28;Castilla - La Mancha2017;2040939.0;2048900.0;-0.3885499536336545
Cataluña;2017;2019-10-28;Cataluña2017;7441140.0;7408290.0;0.44342216624888575
Comunitat Valenciana;2017;2019-10-28;Valencia2017;4935084.0;4932347.0;0.05549082414517681
Extremadura;2017;2019-10-28;Extremadura2017;1077506.0;1084969.0;-0.687853754346901
Galicia;2017;2019-10-28;Galicia2017;2710129.0;2720102.0;-0.36664066273984774
Madrid;2017;2019-10-28;Madrid2017;6476705.0;6424275.0;0.816123220129894
Murcia;2017;2019-10-28;Murcia2017;1472977.0;1466474.0;0.44344461613365915
Navarra;2017;2019-10-28;Navarra2017;640337.0;637486.0;0.4472255076974241
País Vasco;2017;2019-10-28;País Vasco2017;2167283.0;2164066.0;0.1486553552433323
Rioja;2017;2019-10-28;Rioja2017;312618.0;312810.0;-0.061379111920978335
Ceuta;2017;2019-10-28;Ceuta2017;85033.0;84652.0;0.4500779662618637
Melilla;2017;2019-10-28;Melilla2017;84943.0;84764.0;0.21117455523571582
Nacional;2016;2019-10-28;Nacional2016;46440099.0;46449565.0;-0.02037909289355211
Andalucía;2016;2019-10-28;Andalucía2016;8403774.0;8399618.0;0.04947844056717443
Aragón;2016;2019-10-28;Aragón2016;1318571.0;1326403.0;-0.5904691108207683
Asturias;2016;2019-10-28;Asturias2016;1040925.0;1049875.0;-0.8524824383855267
Balears;2016;2019-10-28;Balears2016;1135527.0;1124972.0;0.9382455741120621
Canarias;2016;2019-10-28;Canarias2016;2135209.0;2126144.0;0.42635870383191943
Cantabria;2016;2019-10-28;Cantabria2016;582504.0;585359.0;-0.4877348772291845
Castilla y León;2016;2019-10-28;Castilla y León2016;2454454.0;2478079.0;-0.9533594368863918
Castilla - La Mancha;2016;2019-10-28;Castilla - La Mancha2016;2048900.0;2062767.0;-0.6722523678146852
Cataluña;2016;2019-10-28;Cataluña2016;7408290.0;7396991.0;0.15275130117098357
Comunitat Valenciana;2016;2019-10-28;Valencia2016;4932347.0;4939674.0;-0.14832962661098792
Extremadura;2016;2019-10-28;Extremadura2016;1084969.0;1091623.0;-0.6095510996012354
Galicia;2016;2019-10-28;Galicia2016;2720102.0;2734656.0;-0.5322058789112738
Madrid;2016;2019-10-28;Madrid2016;6424275.0;6385298.0;0.6104178692991402
Murcia;2016;2019-10-28;Murcia2016;1466474.0;1463773.0;0.1845231466900854
Navarra;2016;2019-10-28;Navarra2016;637486.0;636402.0;0.17033258852108268
País Vasco;2016;2019-10-28;País Vasco2016;2164066.0;2165100.0;-0.04775760934829787
Rioja;2016;2019-10-28;Rioja2016;312810.0;313569.0;-0.24205198855754562
Ceuta;2016;2019-10-28;Ceuta2016;84652.0;84692.0;-0.04722996268833324
Melilla;2016;2019-10-28;Melilla2016;84764.0;84570.0;0.22939576682039498
Nacional;2015;2019-10-28;Nacional2015;46449565.0;46512199.0;-0.13466144655942536
Andalucía;2015;2019-10-28;Andalucía2015;8399618.0;8388875.0;0.12806246367957907
