fila,subfila,columna,subcolumna,valor
Andalucía,,1995,EXPORT,"6103865,92"
Aragón,,1995,EXPORT,"4213840,71"
"Asturias, Principado de",,1995,EXPORT,"1004498,08"
"Balears, Illes",,1995,EXPORT,"578334,13"
Canarias,,1995,EXPORT,"596745,61"
Cantabria,,1995,EXPORT,"850777,09"
Castilla y León,,1995,EXPORT,"4374510,49"
Castilla-La Mancha,,1995,EXPORT,"1042200,50"
Cataluña,,1995,EXPORT,"17973856,55"
Comunitat Valenciana,,1995,EXPORT,"9860749,42"
Extremadura,,1995,EXPORT,"362554,76"
Galicia,,1995,EXPORT,"3459861,01"
"Madrid, Comunidad de",,1995,EXPORT,"7008089,40"
"Murcia, Región de",,1995,EXPORT,"1710133,98"
"Navarra, Comunidad Foral de",,1995,EXPORT,"2842676,93"
País Vasco,,1995,EXPORT,"6217834,10"
"Rioja, La",,1995,EXPORT,"444909,61"
Ceuta,,1995,EXPORT,
Melilla,,1995,EXPORT,
No determinado,,1995,EXPORT,"1316772,61"
Andalucía,,1995,IMPORT,"6254658,38"
Aragón,,1995,IMPORT,"3395993,67"
"Asturias, Principado de",,1995,IMPORT,"1174737,97"
"Balears, Illes",,1995,IMPORT,"797880,29"
Canarias,,1995,IMPORT,"2319913,59"
Cantabria,,1995,IMPORT,"1024897,60"
Castilla y León,,1995,IMPORT,"4378095,29"
Castilla-La Mancha,,1995,IMPORT,"1482960,32"
Cataluña,,1995,IMPORT,"25731028,24"
Comunitat Valenciana,,1995,IMPORT,"6983369,76"
Extremadura,,1995,IMPORT,"204856,90"
Galicia,,1995,IMPORT,"3935995,75"
"Madrid, Comunidad de",,1995,IMPORT,"18909188,96"
"Murcia, Región de",,1995,IMPORT,"1504804,17"
"Navarra, Comunidad Foral de",,1995,IMPORT,"1720629,36"
País Vasco,,1995,IMPORT,"5778118,56"
"Rioja, La",,1995,IMPORT,"349162,38"
Ceuta,,1995,IMPORT,
Melilla,,1995,IMPORT,
No determinado,,1995,IMPORT,"1196008,33"
Andalucía,,1996,EXPORT,"6881355,02"
Aragón,,1996,EXPORT,"4358319,34"
"Asturias, Principado de",,1996,EXPORT,"1121938,78"
"Balears, Illes",,1996,EXPORT,"731685,11"
Canarias,,1996,EXPORT,"544746,60"
Cantabria,,1996,EXPORT,"909876,74"
Castilla y León,,1996,EXPORT,"4684792,58"
Castilla-La Mancha,,1996,EXPORT,"1129581,32"
Cataluña,,1996,EXPORT,"20725771,37"
Comunitat Valenciana,,1996,EXPORT,"10744185,54"
Extremadura,,1996,EXPORT,"393457,00"
Galicia,,1996,EXPORT,"4227547,35"
"Madrid, Comunidad de",,1996,EXPORT,"7889025,86"
"Murcia, Región de",,1996,EXPORT,"1891122,58"
"Navarra, Comunidad Foral de",,1996,EXPORT,"3015925,52"
País Vasco,,1996,EXPORT,"7086999,52"
"Rioja, La",,1996,EXPORT,"560021,15"
Ceuta,,1996,EXPORT,"1801,63"
Melilla,,1996,EXPORT,"328,45"
No determinado,,1996,EXPORT,"1313617,22"
Andalucía,,1996,IMPORT,"6805143,49"
Aragón,,1996,IMPORT,"3523371,92"
"Asturias, Principado de",,1996,IMPORT,"1129677,77"
"Balears, Illes",,1996,IMPORT,"884689,31"
Canarias,,1996,IMPORT,"2319509,52"
Cantabria,,1996,IMPORT,"1032283,64"
Castilla y León,,1996,IMPORT,"4574261,33"
Castilla-La Mancha,,1996,IMPORT,"1557138,73"
Cataluña,,1996,IMPORT,"27008825,24"
Comunitat Valenciana,,1996,IMPORT,"7438531,51"
Extremadura,,1996,IMPORT,"209073,75"
Galicia,,1996,IMPORT,"4621861,08"
"Madrid, Comunidad de",,1996,IMPORT,"22168100,94"
"Murcia, Región de",,1996,IMPORT,"1450300,62"
"Navarra, Comunidad Foral de",,1996,IMPORT,"1742443,40"
País Vasco,,1996,IMPORT,"5772096,89"
"Rioja, La",,1996,IMPORT,"404515,72"
Ceuta,,1996,IMPORT,"123834,36"
Melilla,,1996,IMPORT,"146181,06"
No determinado,,1996,IMPORT,"1267639,44"
Andalucía,,1997,EXPORT,"8696581,15"
Aragón,,1997,EXPORT,"4880965,65"
"Asturias, Principado de",,1997,EXPORT,"1377125,44"
"Balears, Illes",,1997,EXPORT,"606996,94"
Canarias,,1997,EXPORT,"734675,52"
Cantabria,,1997,EXPORT,"1019398,30"
Castilla y León,,1997,EXPORT,"5355766,31"
Castilla-La Mancha,,1997,EXPORT,"1408959,04"
Cataluña,,1997,EXPORT,"24661663,05"
Comunitat Valenciana,,1997,EXPORT,"12381478,32"
Extremadura,,1997,EXPORT,"524768,15"
Galicia,,1997,EXPORT,"4876493,49"
"Madrid, Comunidad de",,1997,EXPORT,"9595427,22"
"Murcia, Región de",,1997,EXPORT,"2207296,37"
"Navarra, Comunidad Foral de",,1997,EXPORT,"3401037,33"
País Vasco,,1997,EXPORT,"9293716,61"
"Rioja, La",,1997,EXPORT,"714663,94"
Ceuta,,1997,EXPORT,"1979,08"
Melilla,,1997,EXPORT,"540,61"
No determinado,,1997,EXPORT,"1679835,83"
Andalucía,,1997,IMPORT,"8080120,13"
Aragón,,1997,IMPORT,"3964724,44"
"Asturias, Principado de",,1997,IMPORT,"1402896,83"
"Balears, Illes",,1997,IMPORT,"1034725,92"
Canarias,,1997,IMPORT,"2730813,06"
Cantabria,,1997,IMPORT,"1148179,78"
Castilla y León,,1997,IMPORT,"5183523,70"
Castilla-La Mancha,,1997,IMPORT,"1835020,80"
Cataluña,,1997,IMPORT,"31746547,97"
Comunitat Valenciana,,1997,IMPORT,"8609606,37"
Extremadura,,1997,IMPORT,"229869,50"
Galicia,,1997,IMPORT,"5360516,28"
"Madrid, Comunidad de",,1997,IMPORT,"25655046,96"
"Murcia, Región de",,1997,IMPORT,"1727898,28"
"Navarra, Comunidad Foral de",,1997,IMPORT,"2316662,36"
País Vasco,,1997,IMPORT,"6408266,91"
"Rioja, La",,1997,IMPORT,"450506,88"
Ceuta,,1997,IMPORT,"108923,70"
Melilla,,1997,IMPORT,"124163,20"
No determinado,,1997,IMPORT,"1350679,08"
Andalucía,,1998,EXPORT,"8132575,22"
Aragón,,1998,EXPORT,"5021427,76"
"Asturias, Principado de",,1998,EXPORT,"1364940,14"
"Balears, Illes",,1998,EXPORT,"495042,16"
Canarias,,1998,EXPORT,"608486,43"
Cantabria,,1998,EXPORT,"1099337,99"
Castilla y León,,1998,EXPORT,"6600216,12"
Castilla-La Mancha,,1998,EXPORT,"1733706,31"
Cataluña,,1998,EXPORT,"26924061,49"
Comunitat Valenciana,,1998,EXPORT,"13020265,41"
Extremadura,,1998,EXPORT,"558648,44"
Galicia,,1998,EXPORT,"5347270,09"
"Madrid, Comunidad de",,1998,EXPORT,"10437439,89"
"Murcia, Región de",,1998,EXPORT,"2533981,64"
"Navarra, Comunidad Foral de",,1998,EXPORT,"3962762,10"
País Vasco,,1998,EXPORT,"9705401,12"
"Rioja, La",,1998,EXPORT,"762831,93"
Ceuta,,1998,EXPORT,"235,50"
Melilla,,1998,EXPORT,"9703,75"
No determinado,,1998,EXPORT,"1531124,29"
Andalucía,,1998,IMPORT,"7330468,53"
Aragón,,1998,IMPORT,"4349291,56"
"Asturias, Principado de",,1998,IMPORT,"1517452,82"
"Balears, Illes",,1998,IMPORT,"1042079,53"
Canarias,,1998,IMPORT,"2788704,25"
Cantabria,,1998,IMPORT,"1424906,18"
Castilla y León,,1998,IMPORT,"6687222,72"
Castilla-La Mancha,,1998,IMPORT,"2262297,92"
Cataluña,,1998,IMPORT,"35764302,86"
Comunitat Valenciana,,1998,IMPORT,"9450975,82"
Extremadura,,1998,IMPORT,"284857,26"
Galicia,,1998,IMPORT,"6273535,19"
