fila,subfila,columna,subcolumna,valor
Total Nacional,,1995,EXPORT,"69962210,89"
Total Nacional,,1995,IMPORT,"87142299,55"
Total Nacional,,1996,EXPORT,"78212098,68"
Total Nacional,,1996,IMPORT,"94179479,72"
Total Nacional,,1997,EXPORT,"93419368,36"
Total Nacional,,1997,IMPORT,"109468692,16"
Total Nacional,,1998,EXPORT,"99849457,80"
Total Nacional,,1998,IMPORT,"122856109,63"
Total Nacional,,1999,EXPORT,"104788627,15"
Total Nacional,,1999,IMPORT,"139093706,09"
Total Nacional,,2000,EXPORT,"124177336,03"
Total Nacional,,2000,IMPORT,"169468101,39"
Total Nacional,,2001,EXPORT,"129771012,81"
Total Nacional,,2001,IMPORT,"173210117,18"
Total Nacional,,2002,EXPORT,"133267677,74"
Total Nacional,,2002,IMPORT,"175267866,17"
Total Nacional,,2003,EXPORT,"138119046,69"
Total Nacional,,2003,IMPORT,"185113677,05"
Total Nacional,,2004,EXPORT,"146924722,49"
Total Nacional,,2004,IMPORT,"208410703,59"
Total Nacional,,2005,EXPORT,"155004733,95"
Total Nacional,,2005,IMPORT,"232954465,76"
Total Nacional,,2006,EXPORT,"170438626,91"
Total Nacional,,2006,IMPORT,"262687189,49"
Total Nacional,,2007,EXPORT,"185023217,52"
Total Nacional,,2007,IMPORT,"285038313,42"
Total Nacional,,2008,EXPORT,"189227851,41"
Total Nacional,,2008,IMPORT,"283387764,36"
Total Nacional,,2009,EXPORT,"159889550,15"
Total Nacional,,2009,IMPORT,"206116174,51"
Total Nacional,,2010,EXPORT,"186780070,55"
Total Nacional,,2010,IMPORT,"240055850,10"
Total Nacional,,2011,EXPORT,"215230370,71"
Total Nacional,,2011,IMPORT,"263140740,65"
Total Nacional,,2012,EXPORT,"226114593,97"
Total Nacional,,2012,IMPORT,"257945631,01"
Total Nacional,,2013,EXPORT,"235814069,04"
Total Nacional,,2013,IMPORT,"252346775,23"
Total Nacional,,2014,EXPORT,"240581830,22"
Total Nacional,,2014,IMPORT,"265556606,87"
Total Nacional,,2015,EXPORT,"249794415,65"
Total Nacional,,2015,IMPORT,"274772330,22"
Total Nacional,,2016,EXPORT,"256393380,08"
Total Nacional,,2016,IMPORT,"273778599,40"
Total Nacional,,2017,EXPORT,"276142906,54"
Total Nacional,,2017,IMPORT,"302431158,46"
Total Nacional,,2018,EXPORT,"285023922,40"
Total Nacional,,2018,IMPORT,"318863932,77"
Total Nacional,,2019,EXPORT,"192131221,30"
Total Nacional,,2019,IMPORT,"213314383,21"
