Region;Year;LastUpdateDate;id;GASTO EN I+D TOTAL. Miles de Euros;GASTO EN I+D TOTAL EN % SOBRE TOTAL NACIONAL;GASTO EN I+D SECTOR ADMINISTRACIÓN PÚBLICA. Miles de euros;% DE GASTO I+D ADMINISTRACIÓN PÚBLICA SOBRE EL TOTAL NACIONAL;GASTO EN I+D ENSEÑANZA SUPERIOR.Miles de Euros;%Gasto I+D Enseñanza superior sobre el nacional;GASTO EN I+D SECTOR EMPRESAS. Miles de euros;% DE GASTO I+D EMPRESAS SOBRE EL TOTAL NACIONAL;GASTO EN I+D SECTOR IPSFL;% DE GASTO I+D  IPSFL SOBRE EL TOTAL NACIONAL;Porcentaje de gastos en I+D respecto al PIB a precios de mercado por comunidades autónomas. Serie 2003-2016
Nacional;2010;2019-08-08;Nacional2010;14588455.0;100.0;2930562.0;100.0;4123150.0;100.0;7534743.0;100.0;-1;-1;1.4
Andalucía;2010;2019-08-08;Andalucía2010;1726766.0;11.8;382958.0;13.1;723401.0;17.5;620406.0;8.2;-1;-1;1.22
Aragón;2010;2019-08-08;Aragón2010;374241.0;2.6;78643.0;2.7;84055.0;2.0;211542.0;2.8;-1;-1;1.13
Asturias;2010;2019-08-08;Asturias2010;238127.0;1.6;36940.0;1.3;102976.0;2.5;98211.0;1.3;-1;-1;1.06
Balears;2010;2019-08-08;Balears2010;110385.0;0.8;47158.0;1.6;47260.0;1.1;15967.0;0.2;-1;-1;0.43
Canarias;2010;2019-08-08;Canarias2010;255402.0;1.8;82745.0;2.8;121390.0;2.9;51267.0;0.7;-1;-1;0.63
Cantabria;2010;2019-08-08;Cantabria2010;157850.0;1.1;29473.0;1.0;75062.0;1.8;53315.0;0.7;-1;-1;1.24
Castilla y León;2010;2019-08-08;Castilla y León2010;608202.0;4.2;66651.0;2.3;215160.0;5.2;326391.0;4.3;-1;-1;1.11
Castilla - La Mancha;2010;2019-08-08;Castilla - La Mancha2010;255178.0;1.7;36397.0;1.2;84446.0;2.0;134336.0;1.8;-1;-1;0.69
Cataluña;2010;2019-08-08;Cataluña2010;3227217.0;22.1;638228.0;21.8;755541.0;18.3;1833449.0;24.3;-1;-1;1.66
Valencia;2010;2019-08-08;Valencia2010;1080986.0;7.4;151973.0;5.2;495044.0;12.0;433969.0;5.8;-1;-1;1.08
Extremadura;2010;2019-08-08;Extremadura2010;151778.0;1.0;48733.0;1.7;74034.0;1.8;29012.0;0.4;-1;-1;0.88
Galicia;2010;2019-08-08;Galicia2010;531601.0;3.6;84742.0;2.9;207271.0;5.0;239588.0;3.2;-1;-1;0.94
Madrid;2010;2019-08-08;Madrid2010;3854768.0;26.4;1063352.0;36.3;686095.0;16.6;2105321.0;27.9;-1;-1;2.06
Murcia;2010;2019-08-08;Murcia2010;256149.0;1.8;48744.0;1.7;107860.0;2.6;99545.0;1.3;-1;-1;0.92
Navarra;2010;2019-08-08;Navarra2010;365719.0;2.5;29610.0;1.0;82435.0;2.0;253674.0;3.4;-1;-1;2.04
