Marca temporal,Titulo de la Noticia,Día de Publicación,Fuente ,"Si contestó  'otra', ¿De qué fuente proviene?",Breve descripción de la Noticia,Incrustar etiquetas,"Si no encuentra la etiqueta adecuada, ¿Qué etiqueta añadiría a su noticia? (Separe los tags por comas)",Link de la noticia,¿Tiene lugar en La Rioja?
5/06/2020 9:01:12,Guía para la evaluación nacional de competencias digitales,5/06/2020,smartcity.es,,"La guía publicada por la ITU ayudará a los Estados a determinar las competencias digitales existentes en el país, a evaluar la demanda de competencias de la industria de otros sectores para detectar carencias y a definir políticas para responder a las necesidades futuras en este ámbito.","Innovación, Telecomunicaciones, Digitalización, Smartcity",,https://www.esmartcity.es/2020/06/05/guia-evaluacion-nacional-competencias-digitales,No
5/06/2020 9:15:40," Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria de Proyectos de I+D+i orientados al mercado para el año 2020 de las subvenciones destinadas al fomento de la investigación, desarrollo e innovación, en régimen de concesión directa, para los programas 2, 3 y 6: Desarrollo de proyectos de investigación y desarrollo, I+D, Desarrollo de proyectos de innovación en materia de procesos y organización, Ayudas a la contratación de investigadores y/o tecnólogos para el desarrollo de tareas de I+D+i (extracto)",5/06/2020,BOR,," Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria de Proyectos de I+D+i orientados al mercado para el año 2020 de las subvenciones destinadas al fomento de la investigación, desarrollo e innovación, en régimen de concesión directa, para los programas 2, 3 y 6: Desarrollo de proyectos de investigación y desarrollo, I+D, Desarrollo de proyectos de innovación en materia de procesos y organización, Ayudas a la contratación de investigadores y/o tecnólogos para el desarrollo de tareas de I+D+i (extracto)","Innovación, Ayudas, Investigación, Subvenciones",,http://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=13056218-1-PDF-531304,Sí
5/06/2020 9:18:25," Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria ""Economía Circular y Transición Energética"" para el año 2020 de las subvenciones destinadas a la promoción de las energías renovables, el ahorro y eficiencia energética y la protección del medio ambiente, en régimen de concesión directa (extracto)",5/06/2020,BOR,," Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria ""Economía Circular y Transición Energética"" para el año 2020 de las subvenciones destinadas a la promoción de las energías renovables, el ahorro y eficiencia energética y la protección del medio ambiente, en régimen de concesión directa (extracto)","Energía, Economía, Reciclaje, Medioambiente",,http://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=13056248-1-PDF-531303,Sí
5/06/2020 9:21:20," Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria 2020 de las subvenciones para la mejora de la competitividad de las empresas, en régimen de concesión directa (extracto)",5/06/2020,BOR,," Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria 2020 de las subvenciones para la mejora de la competitividad de las empresas, en régimen de concesión directa (extracto)","Ayudas, Subvenciones, Empresa",,https://web.larioja.org/bor-portada/boranuncio?n=13028011-2-HTML-531302-X,Sí
5/06/2020 9:21:21,"Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria de Proyectos de I+D+i orientados al mercado para el año 2020 de las subvenciones destinadas al fomento de la investigación, desarrollo e innovación, en régimen de concesión directa, para los programas 2, 3 y 6: Desarrollo de proyectos de investigación y desarrollo, I+D, Desarrollo de proyectos de innovación en materia de procesos y organización, Ayudas a la contratación de investigadores y/o tecnólogos para el desarrollo de tareas de I+D+i (extracto)",5/06/2020,BOR,,"Subvenciones destinadas al fomento de la investigación, desarrollo e innovación, en régimen de concesión directa,","Convocatorias Nacionales, Proyectos",,https://web.larioja.org/bor-portada/boranuncio?n=13027980-4-HTML-531304-X,Sí
5/06/2020 9:23:32," Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria 2020 de las subvenciones destinadas al fomento de la industria agroalimentaria (pymes), en régimen de concesión directa (extracto)",5/06/2020,BOR,," Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria 2020 de las subvenciones destinadas al fomento de la industria agroalimentaria (pymes), en régimen de concesión directa (extracto)","Sector Agroalimentario, Ayudas, Subvenciones, Pyme",,http://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=13056226-1-PDF-531301,Sí
5/06/2020 9:26:40," Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria 2020 de las subvenciones destinadas al fomento de la acuicultura y de la transformación y comercialización de los productos de la pesca y de la acuicultura, en régimen de concesión directa (extracto)",5/06/2020,BOR,," Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria 2020 de las subvenciones destinadas al fomento de la acuicultura y de la transformación y comercialización de los productos de la pesca y de la acuicultura, en régimen de concesión directa (extracto)","Ayudas, Subvenciones",,http://ias1.larioja.org/boletin/Bor_Boletin_visor_Servlet?referencia=13056245-1-PDF-531300,Sí
5/06/2020 9:29:24,"Abierta Convocatoria de Ayudas ADER (Proyectos I+D, inversión, eficiencia energética)",5/06/2020,FER,,"En el Boletín Oficial de La Rioja de hoy, día 5 de Junio, se publican las Resoluciones de Convocatorias de varias ayudas promovidas por la Agencia de Desarrollo Económico de La Rioja.","Energía, Economía, Sector Agroalimentario, Ayudas, Investigación, Subvenciones, Proyectos, Empresa, Pyme",,https://sie.fer.es/esp/Servicios/Informes%20y%20Estudios/Ayudas%20y%20Subvenciones/Ayudas%202020.%20Agencia%20de%20Desarrollo%20Econ%F3mico%20de%20La%20Rioja/Abierta_Convocatoria_Ayudas_ADER_Proyectos_ID_inversion_eficiencia_energetica/webDoc_28951.htm,Sí
5/06/2020 9:32:11,"Resolución de 2 de junio de 2020, de la Agencia de Desarrollo Económico de La Rioja, por la que se aprueba la primera convocatoria ""Economía Circular y Transición Energética"" para el año 2020 de las subvenciones destinadas a la promoción de las energías renovables, el ahorro y eficiencia energética y la protección del medio ambiente, en régimen de concesión directa (extracto)",5/06/2020,BOR,,"Convocatoria ADER ""Economía Circular y Transición Energética"" para el año 2020","Convocatorias Nacionales, Green Deal/ Pacto Verde, Reciclaje, Medioambiente, Sostenibilidad",,https://web.larioja.org/bor-portada/boranuncio?n=13027997-2-HTML-531303-X,Sí
5/06/2020 10:14:16,4 buenas prácticas empresariales para fidelizar al talento TIC,5/06/2020,https://www.equiposytalento.com/,,"En un mercado cada vez más competitivo, marcado por la revolución tecnológica y por la necesidad de las empresas de digitalizarse, el talento TIC es el más buscado. Una de las mayores lecciones extraídas de la crisis del Covid-19 es que la adaptabilidad y la transformación digital son claves para hacer crecer al negocio en tiempos de incertidumbre como el que vivimos, y, en este camino, atraer y fidelizar a los perfiles digitales y técnicos especializados en las Tecnologías de la Información y Comunicación debe ser la prioridad.","Innovación, Sector TIC, Digitalización, Empresa, Pyme, Tecnología, Empleo, Industria 4.0, Talento",,https://www.equiposytalento.com/talentstreet/noticias/2020/06/05/4-buenas-practicas-empresariales-para-fidelizar-al-talento-tic/4091/,No
