Region;Year;LastUpdateDate;id;PersEmplIDTotal;PersEmplIDTotalMuj;PersEmplIDTotalEmp;PersEmplIDTotalEmpMuj;PersEmplIDTotalAdPub;PersEmplIDTotalAdPubMuj;PersEmpIDTotalEnsSup;PersEmpIDTotalEnsSupMuj;InvIDTotal;InvIDTotalMuj;InvIDTotalEmp;InvIDTotalEmpMuj;InvIDTotalAdPub;InvIDTotalAdPubMuj;InvIDTotalEnsSup;InvIDTotalEnsSupMuj
Total;2011;2019-08-07;Nacional2011;215078.8;86304.9;89841.1;27644.6;43912.6;22512.5;80900.3;35922.0;130234.9;50232.8;44914.9;13545.0;22892.6;10775.3;62185.4;62185.4
Andalucía;2011;2019-08-07;Andalucía2011;25433.8;10287.9;7461.3;2110.3;5678.7;2690.9;12268.5;5471.5;14609.3;5600.6;3360.3;973.5;2727.3;1157.7;8509.2;8509.2
Aragón;2011;2019-08-07;Aragón2011;6534.2;2556.4;2424.1;612.2;1335.4;705.5;2769.6;1235.6;4461.8;1745.6;1140.8;292.0;697.4;308.0;2620.0;2620.0
Asturias, Principado de;2011;2019-08-07;Asturias2011;3678.6;1415.4;1568.7;469.8;617.3;316.4;1486.3;627.5;2478.3;965.6;874.8;266.9;293.9;167.9;1305.8;1305.8
Balears, Illes;2011;2019-08-07;Balears2011;2007.3;900.8;281.1;78.1;566.9;287.3;1155.3;533.2;1442.0;641.7;107.6;24.1;377.6;178.3;954.9;954.9
Canarias;2011;2019-08-07;Canarias2011;3896.0;1477.4;709.1;205.4;1286.4;474.8;1893.5;795.0;2700.9;994.7;340.1;92.2;735.4;258.5;1623.4;1623.4
Cantabria;2011;2019-08-07;Cantabria2011;2104.7;829.4;725.3;180.1;424.2;220.4;905.6;410.4;1284.2;497.5;301.1;71.5;269.2;115.7;689.1;689.1
Castilla y León;2011;2019-08-07;Castilla y León2011;9734.0;3975.1;4024.0;1165.3;1048.1;571.4;4641.0;2229.1;6128.5;2583.1;1787.2;550.6;506.1;251.8;3823.8;3823.8
Castilla - La Mancha;2011;2019-08-07;Castilla - La Mancha2011;3453.8;1305.5;1630.0;484.2;-2;-2;1172.5;504.4;1960.9;755.3;730.3;237.2;-2;-2;790.9;790.9
Cataluña;2011;2019-08-07;Cataluña2011;44455.5;18735.0;20214.5;6833.4;9633.2;5030.7;14497.8;6809.3;25474.1;10041.7;9362.5;3016.9;5753.9;2646.0;10287.2;10287.2
Comunitat Valenciana;2011;2019-08-07;Valencia2011;19964.6;8527.4;6787.7;2217.3;2940.4;1662.3;10222.7;4639.3;12246.9;4903.4;3301.8;1046.9;1713.5;904.3;7223.5;7223.5
Extremadura;2011;2019-08-07;Extremadura2011;2234.2;887.8;434.6;140.7;620.8;286.0;1176.0;460.0;1345.4;523.6;175.2;63.0;237.6;112.5;931.5;931.5
Galicia;2011;2019-08-07;Galicia2011;10146.3;4167.7;3567.2;972.0;-2;-2;5039.0;2303.0;6224.5;2504.6;1635.0;460.4;-2;-2;3819.3;3819.3
Madrid, Comunidad de;2011;2019-08-07;Madrid2011;51108.8;20262.3;21976.6;6949.4;15050.9;7774.7;13948.5;5463.0;30441.6;11374.6;11992.1;3584.5;6979.4;3421.8;11401.5;11401.5
Murcia, Región de;2011;2019-08-07;Murcia2011;5669.8;2251.7;1389.5;415.6;-2;-2;3559.5;1482.7;4065.5;1563.3;634.9;161.6;-2;-2;3041.2;3041.2
Navarra, Comunidad Foral de;2011;2019-08-07;Navarra2011;5220.5;1949.7;2831.5;776.3;389.1;185.4;1994.2;985.0;3282.7;1230.9;1371.8;361.6;277.3;116.5;1629.6;1629.6
País Vasco;2011;2019-08-07;País Vasco2011;17970.8;6223.1;13137.9;3852.8;1108.3;592.4;3703.1;1762.8;11212.4;3938.3;7526.5;2255.6;561.9;243.5;3111.5;3111.5
Rioja, La;2011;2019-08-07;Rioja2011;1422.6;533.3;671.6;180.9;314.4;157.6;434.1;194.0;844.9;354.0;270.0;86.4;174.9;94.1;397.9;397.9
Ceuta;2011;2019-08-07;Ceuta2011;16.4;5.3;-2;-2;-2;-2;13.6;5.3;11.6;4.3;-2;-2;-2;-2;10.6;10.6
Melilla;2011;2019-08-07;Melilla2011;26.5;13.9;-2;-2;-2;-2;19.5;10.9;19.3;9.9;-2;-2;-2;-2;14.5;14.5
Total;2012;2019-08-07;Nacional2012;208831.4;83681.8;89364.3;27380.8;41786.6;21384.1;77238.1;34677.8;126777.5;48771.0;44920.3;13584.3;21849.8;10219.8;59775.4;59775.4
Andalucía;2012;2019-08-07;Andalucía2012;24647.2;9928.1;7238.0;2100.2;5407.9;2481.2;11945.9;5318.9;14280.2;5534.0;3328.7;1012.3;2658.9;1090.7;8280.7;8280.7
Aragón;2012;2019-08-07;Aragón2012;6133.0;2334.5;2418.3;590.1;1258.3;626.1;2451.3;1115.4;4093.6;1588.3;1150.9;289.8;642.5;277.8;2297.0;2297.0
