CC.AA.;Solicitudes;Variacion Anual;% sobre Total ES;Nº Habitantes;% Habitantes/ Total ES;Ratio Solicitudes/ Millon Hab.;Desviación sobre la media;Year
ANDALUCIA;8;14,29%;2,25%;7.849.799;17,8%;1;-87,3%;2005
ARAGON;10;-16,67%;2,81%;1.269.027;2,88%;8;-1,5%;2005
ASTURIAS;4;-33,33%;1,12%;1.076.635;2,44%;4;-53,5%;2005
CANARIAS;0;-100%;0%;1.968.280;4,46%;0;-100%;2005
CANTABRIA;3;200%;0,84%;562.309;1,27%;5;-33,3%;2005
CASTILLA LA MANCHA;6;50%;1,69%;1.894.667;4,3%;3;-60,4%;2005
CASTILLA LEON;26;-10,34%;7,3%;2.510.849;5,69%;10;29,5%;2005
CATALUÑA;152;36,94%;42,7%;6.995.206;15,86%;22;171,6%;2005
CEUTA Y MELILLA;0;0%;0%;140.764;0,32%;0;-100%;2005
COMUNIDAD VALENCIANA;26;62,5%;7,3%;4.692.449;10,64%;6;-30,8%;2005
EXTREMADURA;0;-100%;0%;1.083.879;2,46%;0;-100%;2005
GALICIA;5;-28,57%;1,4%;2.762.198;6,26%;2;-77,4%;2005
ILLES BALEARS;1;-50%;0,28%;983.131;2,23%;1;-87,3%;2005
LA RIOJA;2;-71,43%;0,56%;301.084;0,68%;7;-17%;2005
MADRID;43;7,5%;12,08%;5.964.143;13,52%;7;-9,9%;2005
MURCIA;3;-40%;0,84%;1.335.792;3,03%;2;-71,9%;2005
NAVARRA;17;70%;4,78%;593.472;1,35%;29;258%;2005
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2005
PAIS VASCO;50;8,7%;14,04%;2.124.846;4,82%;24;194,1%;2005
TOTAL;356;nan;nan;44.108.530;nan;8;nan;2005
ANDALUCIA;9;12,5%;2,39%;7.975.672;17,84%;1;-85,9%;2006
ARAGON;16;60%;4,24%;1.277.471;2,86%;13;56,5%;2006
ASTURIAS;4;0%;1,06%;1.076.896;2,41%;4;-53,6%;2006
CANARIAS;1;0%;0,27%;1.995.833;4,46%;1;-93,8%;2006
CANTABRIA;4;33,33%;1,06%;568.091;1,27%;7;-12%;2006
CASTILLA LA MANCHA;4;-33,33%;1,06%;1.932.261;4,32%;2;-74,1%;2006
CASTILLA LEON;16;-38,46%;4,24%;2.523.020;5,64%;6;-20,8%;2006
CATALUÑA;135;-11,18%;35,81%;7.134.697;15,96%;19;136,5%;2006
CEUTA Y MELILLA;0;0%;0%;142.732;0,32%;0;-100%;2006
COMUNIDAD VALENCIANA;26;0%;6,9%;4.806.908;10,75%;5;-32,4%;2006
EXTREMADURA;1;0%;0,27%;1.086.373;2,43%;1;-88,5%;2006
GALICIA;11;120%;2,92%;2.767.524;6,19%;4;-50,4%;2006
ILLES BALEARS;1;0%;0,27%;1.001.062;2,24%;1;-87,5%;2006
LA RIOJA;1;-50%;0,27%;306.377;0,69%;3;-59,3%;2006
MADRID;70;62,79%;18,57%;6.008.183;13,44%;12;45,6%;2006
MURCIA;3;0%;0,8%;1.370.306;3,06%;2;-72,6%;2006
NAVARRA;17;0%;4,51%;601.874;1,35%;28;253,1%;2006
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2006
PAIS VASCO;58;16%;15,38%;2.133.684;4,77%;27;239,8%;2006
TOTAL;377;nan;nan;44.708.964;nan;8;nan;2006
ANDALUCIA;16;77,78%;3,64%;8.059.461;17,83%;2;-80,1%;2007
ARAGON;8;-50%;1,82%;1.296.655;2,87%;6;-38,3%;2007
ASTURIAS;9;125%;2,05%;1.074.862;2,38%;8;-16,3%;2007
CANARIAS;2;100%;0,46%;2.025.951;4,48%;1;-90,1%;2007
CANTABRIA;4;0%;0,91%;572.824;1,27%;7;-30,2%;2007
CASTILLA LA MANCHA;7;75%;1,59%;1.977.304;4,37%;4;-64,6%;2007
CASTILLA LEON;22;37,5%;5,01%;2.528.417;5,59%;9;-13%;2007
CATALUÑA;158;17,04%;35,99%;7.210.508;15,95%;22;119,1%;2007
CEUTA Y MELILLA;0;0%;0%;146.043;0,32%;0;-100%;2007
COMUNIDAD VALENCIANA;27;3,85%;6,15%;4.885.029;10,81%;6;-44,7%;2007
EXTREMADURA;1;0%;0,23%;1.089.990;2,41%;1;-90,8%;2007
GALICIA;11;0%;2,51%;2.772.533;6,13%;4;-60,3%;2007
ILLES BALEARS;5;400%;1,14%;1.030.650;2,28%;5;-51,5%;2007
LA RIOJA;2;100%;0,46%;308.968;0,68%;6;-35,3%;2007
MADRID;93;32,86%;21,18%;6.081.689;13,45%;15;52,9%;2007
MURCIA;1;-66,67%;0,23%;1.392.117;3,08%;1;-92,8%;2007
NAVARRA;12;-29,41%;2,73%;605.876;1,34%;20;98,1%;2007
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2007
PAIS VASCO;61;5,17%;13,9%;2.141.860;4,74%;28;184,8%;2007
TOTAL;439;nan;nan;45.200.737;nan;10;nan;2007
ANDALUCIA;16;0%;3,8%;8.202.220;17,77%;2;-78,3%;2008
ARAGON;10;25%;2,38%;1.326.918;2,87%;8;-16,2%;2008
ASTURIAS;8;-11,11%;1,9%;1.080.138;2,34%;7;-17,7%;2008
CANARIAS;0;-100%;0%;2.075.968;4,5%;0;-100%;2008
CANTABRIA;2;-50%;0,48%;582.138;1,26%;3;-61,8%;2008
CASTILLA LA MANCHA;3;-57,14%;0,71%;2.043.100;4,43%;1;-83,7%;2008
CASTILLA LEON;23;4,55%;5,46%;2.557.330;5,54%;9;-0,1%;2008
CATALUÑA;168;6,33%;39,9%;7.364.078;15,95%;23;153,4%;2008
CEUTA Y MELILLA;0;0%;0%;148.837;0,32%;0;-100%;2008
COMUNIDAD VALENCIANA;28;3,7%;6,65%;5.029.601;10,9%;6;-38,1%;2008
EXTREMADURA;0;-100%;0%;1.097.744;2,38%;0;-100%;2008
GALICIA;7;-36,36%;1,66%;2.784.169;6,03%;3;-72,1%;2008
ILLES BALEARS;1;-80%;0,24%;1.072.844;2,32%;1;-89,7%;2008
LA RIOJA;6;200%;1,43%;317.501;0,69%;19;110%;2008
MADRID;76;-18,28%;18,05%;6.271.638;13,59%;12;34,7%;2008
MURCIA;6;500%;1,43%;1.426.109;3,09%;4;-53,2%;2008
NAVARRA;10;-16,67%;2,38%;620.377;1,34%;16;79,1%;2008
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2008
PAIS VASCO;57;-6,56%;13,54%;2.157.112;4,67%;26;193,6%;2008
TOTAL;421;nan;nan;46.157.822;nan;9;nan;2008
ANDALUCIA;9;-43,75%;1,83%;8.302.923;17,76%;1;-90,2%;2009
ARAGON;13;30%;2,65%;1.345.473;2,88%;10;-12,2%;2009
ASTURIAS;11;37,5%;2,24%;1.085.289;2,32%;10;-7,8%;2009
CANARIAS;1;0%;0,2%;2.103.992;4,5%;0;-95,6%;2009
CANTABRIA;1;-50%;0,2%;589.235;1,26%;2;-84,5%;2009
CASTILLA LA MANCHA;4;33,33%;0,81%;2.081.313;4,45%;2;-82,5%;2009
CASTILLA LEON;19;-17,39%;3,87%;2.563.521;5,48%;7;-32,6%;2009
CATALUÑA;183;8,93%;37,27%;7.475.420;15,99%;24;122,5%;2009
CEUTA Y MELILLA;0;0%;0%;152.134;0,33%;0;-100%;2009
COMUNIDAD VALENCIANA;36;28,57%;7,33%;5.094.675;10,9%;7;-35,7%;2009
EXTREMADURA;2;0%;0,41%;1.102.410;2,36%;2;-83,5%;2009
GALICIA;7;0%;1,43%;2.796.089;5,98%;3;-77,3%;2009
ILLES BALEARS;1;0%;0,2%;1.095.426;2,34%;1;-91,7%;2009
LA RIOJA;1;-83,33%;0,2%;321.702;0,69%;3;-71,7%;2009
MADRID;88;15,79%;17,92%;6.386.932;13,66%;14;25,3%;2009
MURCIA;2;-66,67%;0,41%;1.446.520;3,09%;1;-87,5%;2009
NAVARRA;43;330%;8,76%;630.578;1,35%;68;519,9%;2009
NO RESIDENTE;nan;nan;nan;nan;nan;nan;nan;2009
PAIS VASCO;70;22,81%;14,26%;2.172.175;4,65%;32;193%;2009
TOTAL;491;nan;nan;46.745.807;nan;11;nan;2009
ANDALUCIA;16;77,78%;3,18%;8.370.975;17,8%;2;-82,6%;2010
ARAGON;7;-46,15%;1,39%;1.347.095;2,86%;5;-52,7%;2010
ASTURIAS;7;-36,36%;1,39%;1.084.341;2,31%;6;-41,3%;2010
CANARIAS;0;-100%;0%;2.118.519;4,51%;0;-100%;2010
CANTABRIA;2;100%;0,4%;592.250;1,26%;3;-69,3%;2010
CASTILLA LA MANCHA;4;0%;0,8%;2.098.373;4,46%;2;-82,6%;2010
