CC.AA.;Tipo Solicitante;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0
ANDALUCIA;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
ANDALUCIA;Empresas;119.0;105.0;89.0;83.0;90.0;117.0;92.0;62.0;69.0;41.0
ANDALUCIA;Organismos Públicos;25.0;32.0;47.0;37.0;43.0;27.0;39.0;22.0;14.0;26.0
ANDALUCIA;Particulares Hombres;211.0;203.0;223.0;209.0;216.0;230.0;215.0;320.0;183.0;68.0
ANDALUCIA;Particulares Mujeres;17.0;15.0;14.0;15.0;12.0;11.0;11.0;11.0;6.0;8.0
ANDALUCIA;Universidades;81.0;99.0;104.0;92.0;107.0;142.0;85.0;97.0;70.0;66.0
ARAGON;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
ARAGON;Empresas;153.0;149.0;168.0;178.0;144.0;134.0;115.0;116.0;124.0;118.0
ARAGON;Organismos Públicos;4.0;5.0;1.0;5.0;1.0;1.0;nan;nan;nan;nan
ARAGON;Particulares Hombres;41.0;65.0;24.0;38.0;49.0;29.0;27.0;24.0;24.0;11.0
ARAGON;Particulares Mujeres;1.0;3.0;3.0;2.0;4.0;2.0;5.0;2.0;1.0;1.0
ARAGON;Universidades;15.0;9.0;11.0;9.0;7.0;9.0;6.0;4.0;4.0;4.0
ASTURIAS;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
ASTURIAS;Empresas;24.0;21.0;30.0;25.0;19.0;14.0;9.0;9.0;9.0;16.0
ASTURIAS;Organismos Públicos;3.0;1.0;3.0;nan;1.0;2.0;3.0;nan;nan;nan
ASTURIAS;Particulares Hombres;21.0;14.0;30.0;15.0;19.0;12.0;15.0;28.0;10.0;14.0
ASTURIAS;Particulares Mujeres;nan;1.0;2.0;nan;nan;3.0;nan;2.0;1.0;1.0
ASTURIAS;Universidades;7.0;6.0;8.0;5.0;9.0;5.0;6.0;7.0;3.0;2.0
CANARIAS;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
CANARIAS;Empresas;20.0;9.0;13.0;4.0;11.0;8.0;7.0;6.0;5.0;4.0
CANARIAS;Organismos Públicos;1.0;2.0;1.0;nan;nan;nan;nan;1.0;nan;nan
CANARIAS;Particulares Hombres;30.0;35.0;28.0;26.0;21.0;30.0;26.0;27.0;25.0;9.0
CANARIAS;Particulares Mujeres;4.0;nan;2.0;3.0;8.0;nan;5.0;3.0;2.0;1.0
CANARIAS;Universidades;6.0;11.0;10.0;10.0;8.0;8.0;11.0;19.0;13.0;4.0
