CC.AA.;Tipo Solicitante;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0
ANDALUCIA;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;1.0
ANDALUCIA;Empresas;37.0;67.0;53.0;39.0;52.0;58.0;62.0;43.0;36.0;22.0
ANDALUCIA;Organismos Públicos;1.0;14.0;18.0;30.0;21.0;24.0;27.0;20.0;16.0;17.0
ANDALUCIA;Particulares Hombres;26.0;25.0;39.0;42.0;40.0;52.0;46.0;46.0;43.0;43.0
ANDALUCIA;Particulares Mujeres;nan;5.0;2.0;3.0;2.0;7.0;2.0;1.0;10.0;2.0
ANDALUCIA;Universidades;67.0;69.0;73.0;81.0;60.0;66.0;62.0;31.0;49.0;37.0
ARAGON;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
ARAGON;Empresas;10.0;14.0;16.0;24.0;15.0;15.0;13.0;18.0;20.0;18.0
ARAGON;Organismos Públicos;5.0;1.0;2.0;1.0;3.0;nan;1.0;nan;nan;nan
ARAGON;Particulares Hombres;14.0;12.0;5.0;7.0;7.0;5.0;15.0;9.0;7.0;7.0
ARAGON;Particulares Mujeres;nan;nan;1.0;1.0;nan;nan;nan;1.0;nan;nan
ARAGON;Universidades;9.0;12.0;4.0;9.0;6.0;6.0;6.0;5.0;2.0;2.0
ASTURIAS;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
ASTURIAS;Empresas;9.0;6.0;8.0;9.0;4.0;8.0;4.0;5.0;2.0;1.0
ASTURIAS;Organismos Públicos;nan;nan;nan;2.0;nan;2.0;1.0;nan;nan;nan
ASTURIAS;Particulares Hombres;5.0;6.0;6.0;nan;6.0;1.0;1.0;6.0;4.0;5.0
ASTURIAS;Particulares Mujeres;nan;nan;nan;1.0;nan;nan;1.0;nan;nan;nan
ASTURIAS;Universidades;3.0;3.0;2.0;3.0;1.0;3.0;3.0;2.0;3.0;1.0
CANARIAS;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
CANARIAS;Empresas;3.0;16.0;9.0;2.0;5.0;8.0;2.0;2.0;9.0;7.0
CANARIAS;Organismos Públicos;1.0;nan;nan;nan;nan;nan;nan;nan;nan;nan
CANARIAS;Particulares Hombres;7.0;7.0;7.0;4.0;10.0;8.0;11.0;7.0;10.0;7.0
CANARIAS;Particulares Mujeres;nan;1.0;nan;nan;1.0;nan;1.0;4.0;1.0;2.0
CANARIAS;Universidades;2.0;3.0;1.0;1.0;1.0;1.0;1.0;2.0;3.0;nan
CANTABRIA;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
CANTABRIA;Empresas;6.0;4.0;6.0;4.0;5.0;3.0;4.0;11.0;13.0;6.0
CANTABRIA;Organismos Públicos;nan;nan;1.0;nan;1.0;nan;2.0;nan;nan;nan
CANTABRIA;Particulares Hombres;1.0;3.0;2.0;4.0;2.0;3.0;2.0;3.0;4.0;5.0
CANTABRIA;Particulares Mujeres;nan;1.0;2.0;nan;nan;nan;nan;nan;nan;1.0
CANTABRIA;Universidades;1.0;2.0;4.0;5.0;12.0;5.0;3.0;2.0;2.0;nan
CASTILLA LA MANCHA;CSIC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
